time_elapsed,temp,baseline_cog
1.0,33.43363636363636,baseline
2.0,33.43472727272727,baseline
3.0,33.42636363636364,baseline
4.0,33.421454545454544,baseline
5.0,33.41909090909091,baseline
6.0,33.42436363636364,baseline
7.0,33.41636363636364,baseline
8.0,33.41345454545455,baseline
9.0,33.415757575757574,baseline
10.0,33.41654545454546,baseline
11.0,33.41242424242424,baseline
12.0,33.40563636363636,baseline
13.0,33.411818181818184,baseline
16.0,33.40654545454546,baseline
17.0,33.404848484848486,baseline
18.0,33.40781818181818,baseline
19.0,33.408181818181816,baseline
20.0,33.403636363636366,baseline
21.0,33.403030303030306,baseline
22.0,33.40509090909091,baseline
23.0,33.405454545454546,baseline
24.0,33.40927272727273,baseline
25.0,33.404848484848486,baseline
26.0,33.40054545454546,baseline
27.0,33.40121212121212,baseline
28.0,33.396727272727276,baseline
29.0,33.39848484848485,baseline
30.0,33.40054545454546,baseline
31.0,33.3969696969697,baseline
32.0,33.40145454545455,baseline
33.0,33.40060606060606,baseline
34.0,33.39818181818182,baseline
35.0,33.39151515151515,baseline
36.0,33.38945454545455,baseline
37.0,33.39212121212121,baseline
38.0,33.39054545454545,baseline
39.0,33.38393939393939,baseline
40.0,33.38345454545455,baseline
41.0,33.38787878787878,baseline
42.0,33.38690909090909,baseline
43.0,33.38484848484848,baseline
44.0,33.37709090909091,baseline
45.0,33.378181818181815,baseline
46.0,33.38109090909091,baseline
47.0,33.37878787878788,baseline
48.0,33.374545454545455,baseline
49.0,33.376060606060605,baseline
50.0,33.378727272727275,baseline
51.0,33.373939393939395,baseline
52.0,33.37327272727273,baseline
53.0,33.36757575757576,baseline
54.0,33.366727272727275,baseline
55.0,33.3669696969697,baseline
56.0,33.36836363636364,baseline
57.0,33.36666666666667,baseline
58.0,33.364363636363635,baseline
59.0,33.36212121212122,baseline
60.0,33.36272727272728,baseline
61.0,33.36333333333334,baseline
62.0,33.36309090909091,baseline
63.0,33.36121212121213,baseline
64.0,33.364363636363635,baseline
65.0,33.36363636363637,baseline
66.0,33.35781818181818,baseline
67.0,33.35454545454545,baseline
68.0,33.35781818181818,baseline
69.0,33.35757575757576,baseline
70.0,33.353818181818184,baseline
71.0,33.35515151515151,baseline
72.0,33.35309090909091,baseline
73.0,33.35393939393939,baseline
74.0,33.350545454545454,baseline
75.0,33.344242424242424,baseline
76.0,33.346545454545456,baseline
77.0,33.344242424242424,baseline
78.0,33.34290909090909,baseline
79.0,33.346060606060604,baseline
80.0,33.340545454545456,baseline
81.0,33.33909090909091,baseline
82.0,33.34018181818182,baseline
83.0,33.33909090909091,baseline
84.0,33.33981818181818,baseline
85.0,33.333636363636366,baseline
86.0,33.33381818181818,baseline
87.0,33.33030303030303,baseline
88.0,33.32927272727273,baseline
89.0,33.33060606060606,baseline
90.0,33.329454545454546,baseline
91.0,33.33030303030303,baseline
92.0,33.32418181818182,baseline
93.0,33.349000000000004,baseline
94.0,33.35,baseline
95.0,33.351,baseline
96.0,33.348,baseline
97.0,33.349333333333334,baseline
98.0,33.3472,baseline
99.0,33.34533333333333,baseline
100.0,33.34439999999999,baseline
101.0,33.342333333333336,baseline
102.0,33.3438,baseline
103.0,33.344,baseline
104.0,33.3392,baseline
105.0,33.33566666666667,baseline
106.0,33.335,baseline
107.0,33.33533333333334,baseline
108.0,33.3372,baseline
109.0,33.33566666666667,baseline
110.0,33.330200000000005,baseline
111.0,33.32533333333333,baseline
112.0,33.326800000000006,baseline
113.0,33.32633333333333,baseline
114.0,33.3258,baseline
115.0,33.325,baseline
116.0,33.319599999999994,baseline
117.0,33.20407407407407,baseline
118.0,33.2,baseline
119.0,33.202962962962964,baseline
120.0,33.19911111111111,baseline
121.0,33.43125,baseline
122.0,33.4315,baseline
1.0,33.97484848484848,cog
2.0,33.968909090909094,cog
3.0,33.95393939393939,cog
4.0,33.95181818181818,cog
5.0,33.946969696969695,cog
6.0,33.949090909090906,cog
7.0,33.95272727272727,cog
8.0,33.95527272727273,cog
9.0,33.95575757575757,cog
10.0,33.94472727272727,cog
11.0,33.941818181818185,cog
12.0,33.94018181818182,cog
13.0,33.943030303030305,cog
16.0,33.942,cog
17.0,33.93848484848485,cog
18.0,33.93381818181818,cog
19.0,33.93181818181818,cog
20.0,33.929272727272725,cog
21.0,33.92333333333333,cog
22.0,33.91672727272727,cog
23.0,33.9169696969697,cog
24.0,33.90872727272727,cog
25.0,33.914848484848484,cog
26.0,33.914545454545454,cog
27.0,33.91,cog
28.0,33.90309090909091,cog
29.0,33.89848484848485,cog
30.0,33.900000000000006,cog
31.0,33.89787878787879,cog
32.0,33.90054545454546,cog
33.0,33.89515151515152,cog
34.0,33.89145454545455,cog
35.0,33.88848484848484,cog
36.0,33.88181818181818,cog
37.0,33.88212121212121,cog
38.0,33.88345454545455,cog
39.0,33.88090909090909,cog
40.0,33.883272727272725,cog
41.0,33.873939393939395,cog
42.0,33.876909090909095,cog
43.0,33.86636363636364,cog
44.0,33.87290909090909,cog
45.0,33.87,cog
46.0,33.86654545454545,cog
47.0,33.86000000000001,cog
48.0,33.8609090909091,cog
49.0,33.86272727272728,cog
50.0,33.85363636363636,cog
51.0,33.85606060606061,cog
52.0,33.850181818181824,cog
53.0,33.85333333333333,cog
54.0,33.85090909090909,cog
55.0,33.84939393939394,cog
56.0,33.84490909090909,cog
57.0,33.843030303030304,cog
58.0,33.84090909090909,cog
59.0,33.837272727272726,cog
60.0,33.836000000000006,cog
61.0,33.83,cog
62.0,33.833999999999996,cog
63.0,33.82939393939394,cog
64.0,33.832,cog
65.0,33.833939393939396,cog
66.0,33.829454545454546,cog
67.0,33.82363636363636,cog
68.0,33.82509090909091,cog
69.0,33.82363636363636,cog
70.0,33.81454545454545,cog
71.0,33.81454545454545,cog
72.0,33.81163636363636,cog
73.0,33.80969696969697,cog
74.0,33.80709090909091,cog
75.0,33.802727272727275,cog
76.0,33.80290909090909,cog
77.0,33.803636363636365,cog
78.0,33.80145454545455,cog
79.0,33.803636363636365,cog
80.0,33.79818181818182,cog
81.0,33.78545454545454,cog
82.0,33.795272727272724,cog
83.0,33.79030303030303,cog
84.0,33.78727272727273,cog
85.0,33.78393939393939,cog
86.0,33.782363636363634,cog
87.0,33.78424242424242,cog
88.0,33.78509090909091,cog
89.0,33.78272727272727,cog
90.0,33.77981818181818,cog
91.0,33.7830303030303,cog
92.0,33.776545454545456,cog
93.0,33.77454545454545,cog
94.0,33.768727272727276,cog
95.0,33.766060606060606,cog
96.0,33.770909090909086,cog
97.0,33.767272727272726,cog
98.0,33.77272727272727,cog
99.0,33.76363636363636,cog
100.0,33.767272727272726,cog
101.0,33.7630303030303,cog
102.0,33.756,cog
103.0,33.75666666666667,cog
104.0,33.75690909090909,cog
105.0,33.75939393939394,cog
106.0,33.75127272727273,cog
107.0,33.7469696969697,cog
108.0,33.752,cog
109.0,33.75121212121212,cog
110.0,33.74963636363636,cog
111.0,33.74666666666667,cog
112.0,33.75018181818182,cog
113.0,33.74575757575757,cog
114.0,33.742363636363635,cog
115.0,33.735454545454544,cog
116.0,33.73690909090909,cog
117.0,33.73666666666667,cog
118.0,33.738,cog
119.0,33.73,cog
120.0,33.72581818181818,cog
121.0,33.72909090909091,cog
122.0,33.72472727272727,cog
