time_elapsed,bvp,baseline_cog
1.0,19471.060043839312,baseline
2.0,7746.039088461537,baseline
3.0,2316.7434430991952,baseline
4.0,2099.664647827797,baseline
5.0,2764.562401689708,baseline
6.0,1884.4221227840906,baseline
7.0,2494.641605590467,baseline
8.0,2894.5715734396854,baseline
9.0,2732.924136466043,baseline
10.0,2031.5659803715034,baseline
11.0,1963.8261812363264,baseline
12.0,1892.9729015472026,baseline
13.0,2086.2893048968954,baseline
16.0,1979.533248990385,baseline
17.0,1941.7923154540802,baseline
18.0,2734.968112438811,baseline
19.0,2062.7575547549227,baseline
20.0,2081.244896092657,baseline
21.0,2889.1528708699893,baseline
22.0,1466.3145835183566,baseline
23.0,1815.8433814178652,baseline
24.0,1806.7702691826926,baseline
25.0,1709.5941706232836,baseline
26.0,1618.5144140515733,baseline
27.0,2932.8081177209892,baseline
28.0,2456.550480310315,baseline
29.0,2545.0693400782015,baseline
30.0,1816.6421139248248,baseline
31.0,2331.305749006191,baseline
32.0,2036.6546710970285,baseline
33.0,1567.302229395336,baseline
34.0,1752.8389555157344,baseline
35.0,1601.5949421542612,baseline
36.0,1826.1600976486013,baseline
37.0,1704.4385173392918,baseline
38.0,1911.604174624126,baseline
39.0,1777.4745567797793,baseline
40.0,1958.9947929982518,baseline
41.0,1811.3347305730115,baseline
42.0,1992.8270435882864,baseline
43.0,1987.8801952613694,baseline
44.0,1643.2908417307692,baseline
45.0,1773.9249735511803,baseline
46.0,2044.9197178103152,baseline
47.0,1979.5999730577664,baseline
48.0,1565.1565188024476,baseline
49.0,1856.9593027370481,baseline
50.0,1725.4641909265736,baseline
51.0,1701.067951314993,baseline
52.0,1644.0269858784966,baseline
53.0,1758.3619504072992,baseline
54.0,2625.9861923601393,baseline
55.0,1763.673427998883,baseline
56.0,1922.554157089161,baseline
57.0,2001.4759187450543,baseline
58.0,2033.5113488898603,baseline
59.0,2092.0185025555093,baseline
60.0,2310.1674761756994,baseline
61.0,2228.6463690685664,baseline
62.0,2153.433297556818,baseline
63.0,1607.153446176046,baseline
64.0,1859.6171043356642,baseline
65.0,1905.3519843504168,baseline
66.0,1773.7870357736012,baseline
67.0,1914.5448993855607,baseline
68.0,1812.4530936232513,baseline
69.0,1623.0162211050595,baseline
70.0,1487.746499541084,baseline
71.0,1902.0636658055207,baseline
72.0,1668.1082955375875,baseline
73.0,2114.8219565004883,baseline
74.0,2458.11340055507,baseline
75.0,1752.1853078853048,baseline
76.0,2087.9072306337416,baseline
77.0,2043.2433280314667,baseline
78.0,2013.258794838287,baseline
79.0,1713.308130852302,baseline
80.0,1664.91823138986,baseline
81.0,1918.4303541591028,baseline
82.0,2176.5217144143357,baseline
83.0,2148.050148498813,baseline
84.0,1976.4768708304196,baseline
85.0,2016.8013686635945,baseline
86.0,2340.4643851311193,baseline
87.0,2384.117189093702,baseline
88.0,1931.7868973076925,baseline
89.0,1733.4204662244565,baseline
90.0,1987.1237751704546,baseline
91.0,2067.8389765954475,baseline
92.0,1584.6594407867133,baseline
93.0,1736.8098518314357,baseline
94.0,1952.9943514807696,baseline
95.0,1923.4987269073222,baseline
96.0,2018.6584113798078,baseline
97.0,2003.8331837992835,baseline
98.0,1970.2649578749995,baseline
99.0,2195.110481797235,baseline
100.0,2433.511584644231,baseline
101.0,2361.7578524475166,baseline
102.0,2190.6832595144233,baseline
103.0,1816.9433312749618,baseline
104.0,1897.3230276971158,baseline
105.0,2091.622606477215,baseline
106.0,2139.4184074375,baseline
107.0,1944.8551532616489,baseline
108.0,2163.876498903846,baseline
109.0,2750.228240762929,baseline
110.0,2496.7199588317308,baseline
111.0,2395.072058791603,baseline
112.0,2398.7402072788464,baseline
113.0,2425.6219586226316,baseline
114.0,2264.4137977884616,baseline
115.0,2254.2722420378905,baseline
116.0,2478.5310815192306,baseline
117.0,2295.1340375076807,baseline
118.0,1975.8750932425214,baseline
119.0,2364.6968335040115,baseline
120.0,2212.792964502242,baseline
121.0,2271.45336077829,baseline
122.0,2497.462435084135,baseline
1.0,27154.03983524647,cog
2.0,12606.680353535841,cog
3.0,5929.800651775823,cog
