time_elapsed,bvp,baseline_cog
0.1,538.5469139393939,baseline
0.2,106.39160173160172,baseline
0.3,52.65840939393942,baseline
0.4,70.34732969696968,baseline
0.5,133.79854112554116,baseline
0.6,258.93158,baseline
0.7,353.27308969696963,baseline
0.8,621.9836372294372,baseline
0.9,209.5513806060606,baseline
1.0,1082.7813380952377,baseline
1.1,431.8156945454546,baseline
1.2,1105.0027194805195,baseline
1.3,5822.422921515152,baseline
1.6,1186.9576187878783,baseline
1.7,360.9297066666668,baseline
1.8,337.9472207792207,baseline
1.9,272.61510484848486,baseline
2.0,727.0773428571428,baseline
2.1,318.4731730303031,baseline
2.2,823.292648051948,baseline
2.3,107.43831636363637,baseline
2.4,262.8017336363636,baseline
2.5,75.18061168831171,baseline
2.6,155.8743978787879,baseline
2.7,247.72479333333328,baseline
2.8,152.9841701298701,baseline
2.9,304.67356030303023,baseline
3.0,195.76784155844155,baseline
3.1,99.33701757575756,baseline
3.2,301.46212554112566,baseline
3.3,206.690783030303,baseline
3.4,124.63351515151511,baseline
3.5,1056.1240051948052,baseline
3.6,88.52757848484846,baseline
3.7,149.57754484848485,baseline
3.8,129.27717792207795,baseline
3.9,205.9289781818181,baseline
4.0,261.2640653679654,baseline
4.1,765.5170921212122,baseline
4.2,190.51142467532466,baseline
4.3,520.6770315151515,baseline
4.4,110.73615484848483,baseline
4.5,146.00536580086575,baseline
4.6,192.32560303030303,baseline
4.7,516.0615918181818,baseline
4.8,426.79562987012997,baseline
4.9,190.15169727272723,baseline
5.0,106.91682987012986,baseline
5.1,69.34665212121212,baseline
5.2,769.252467965368,baseline
5.3,731.7919003030303,baseline
5.4,29.441554242424232,baseline
5.5,72.35747748917751,baseline
5.6,88.52194090909092,baseline
5.7,220.20464030303035,baseline
5.8,313.8379337662338,baseline
5.9,517.0757366666666,baseline
6.0,418.8993281385281,baseline
6.1,261.51774515151516,baseline
6.2,76.62684458874458,baseline
6.3,52.77726848484847,baseline
6.4,117.70063212121214,baseline
6.5,520.689000865801,baseline
6.6,120.28724575757579,baseline
6.7,291.1780745454546,baseline
6.8,235.95606580086584,baseline
6.9,382.19386424242424,baseline
7.0,148.4276415584416,baseline
7.1,129.68015454545454,baseline
7.2,592.3250298701299,baseline
7.3,330.0213581818182,baseline
7.4,388.6262618181818,baseline
7.5,173.46034848484848,baseline
7.6,70.56826575757577,baseline
7.7,157.90861151515148,baseline
7.8,323.21939610389614,baseline
7.9,336.4915048484849,baseline
8.0,116.1721965367965,baseline
8.1,84.31760272727276,baseline
8.2,187.89126926406928,baseline
8.3,280.6415851515152,baseline
8.4,183.09328848484847,baseline
8.5,550.8184393939396,baseline
8.6,92.68822,baseline
8.7,135.05417060606064,baseline
8.8,259.4412554112553,baseline
8.9,519.1120360606061,baseline
9.0,503.23034069264054,baseline
